category	answer	question	air_date
HOLIDAYS	The third Monday of January starting in 1986	Martin Luther King Day	1984-09-10
THE CALENDAR	Calendar date with which the 20th century began	January 1, 1901	1984-09-11
LANGUAGE	It is the 2nd most spoken language in the world	English	1984-09-12
AMERICAN GOVERNMENT	Since 1970, the only cabinet department not headed by a secretary	the Attorney General's Department	1984-09-13
THE OLYMPICS	Of the 5 continents symbolized by Olympic rings, only one never to hold Games	Africa	1984-09-14
EUROPE	Country where the current king succeeded his grandfather after a 44-year gap	Spain	1984-09-17
WORLD HISTORY	"Country where Napoleon met his ""Waterloo\"""	Belgium	1984-09-18
AMERICAN HISTORY	He served as congressman from 1 state, senator from another, governor of both & president of Texas	Sam Houston	1984-09-19
SCIENCE	The mammal that holds the record for the longest lifespan	man	1984-09-20
U.S. PRESIDENTS	Adventurous 26th president, he was 1st to ride in an automobile & an airplane	Theodore Roosevelt	1984-09-21
TITLED HEADS	N.Y. financier Al Grimaldi is next in line for throne of this Mediterranean principality	Monaco	1984-09-24
RIVERS	It carries more water than the longest rivers in Asia, Africa & No. America combined	the Amazon	1984-09-25
THE SOLAR SYSTEM	Only 1 of 9 planets not named for a Greek or Roman mythological figure	the Earth	1984-09-26
BUSINESS & INDUSTRY	Automaker that introduced the alternator, power steering & electric ignition	Chrysler	1984-09-27
MATHEMATICS	The number of zeros in 1 trillion	12	1984-09-28
WORLD CITIES	It's the most populous city in the Western Hemisphere	Mexico City	1984-10-01
TRAVEL & TOURISM	This country draws the most American tourists each year	Canada	1984-10-02
U.S. PRESIDENTS	In the 1860 election for his 1st term, more Americans voted against him than for him	Abraham Lincoln	1984-10-03
THE CALENDAR	Number of leap years between 1985 & 2001	4	1984-10-04
WORLD GEOGRAPHY	It has more people than all the other South American countries combined	Brazil	1984-10-05
THE ARMED SERVICES	The last military branch to be established	United States Air Force	1984-10-08
U.S. STATES	Only state bordering on 4 of the 5 Great Lakes	Michigan	1984-10-09
DANCE	Introduced in 1650 at court of Louis XIV, it's a slow, dignified dance done in 3/4 time	the minuet	1984-10-10
THE SUPREME COURT	He successfully argued Brown vs. Board of Education before Supreme Court, then became its 1st black justice	Thurgood Marshall	1984-10-11
FICTIONAL CHARACTERS	Alphabetically, the last of the 7 Dwarfs	Sneezy	1984-10-12
ASTRONOMY	After the Sun & the Moon, the brightest astronomical object regularly seen in our sky	the planet Venus	1984-10-19
U.S. STATES	This state was once an independent monarchy	Hawaii	1984-10-26
FAMOUS FAMILIES	"Members of this acting family starred in ""Grand Hotel"", the Dr. Kildare films & ""E.T.\"""	the Barrymores	1984-10-30
NUMBER, PLEASE	Number of most recent year that reads the same when turned up-side down	1961	1984-11-02
THE ZODIAC	The only sign of the zodiac not symbolized by a living thing	Libra	1984-11-05
RIVERS	Mark Antony's journey to Cleopatra's Nile began on this river	the Tiber	1984-11-06
MATHEMATICS	Only current Arabic number which cannot be expressed in Roman numerals	zero	1984-11-07
AMERICAN GOVERNMENT	Along with president, these 2 must sign a bill for it to become law	the speaker of the House & the vice president	1984-11-08
ROYALTY	This king became the Duke of Windsor after he abdicated	Edward VIII	1984-11-09
FOOD	By worth, the largest single grocery item imported into the U.S.	coffee	1984-11-14
SPORTS	"Either of 2 current pro baseball team names that don't end in ""S\"""	(1 of) Chicago White Sox & Boston Red Sox	1984-11-19
THE BIBLE	First person in the Bible to be imprisoned	Joseph	1984-11-20
DANCE	"Balanchine called him ""the most interesting, inventive & elegant dancer of our time\"""	Fred Astaire	1984-11-22
THE OSCARS	In 1971 & 1973, these 2 Best Actors refused the Oscars they had won	Marlon Brando & George C. Scott	1984-11-23
BUSINESS & INDUSTRY	Country that manufactures the most cars per year	Japan	1984-11-26
GOVERNMENT	Decade the last amendment to the Constitution was ratified in	the 1970s	1984-11-27
TRAVEL & TOURISM	City that boasts the tallest U.S. monument, completed in 1965	St. Louis	1984-11-28
THE CALENDAR	The only day of the week named for a Roman god	Saturday	1984-11-29
WORLD CAPITALS	Birthplace of Beethoven, it has been a capital only since 1949	Bonn	1984-11-30
EUROPE	The Soviet army was welcome in this capital in May of '45 but unwelcome in August '68	Prague	1984-12-03
U.S. PRESIDENTS	President elected to 2nd term with 523 electoral votes, the greatest number in any election	Franklin D. Roosevelt	1984-12-04
SHOW BUSINESS	Barrymore, Rathbone, Roger Moore & Larry Hagman are among 61 actors to play this character	Sherlock Holmes	1984-12-05
WORLD HISTORY	In 1804 this Caribbean country became 1st black nation to gain freedom from European colonial rule	Haiti	1984-12-06
TITLED HEADS	Queen of France 1559-60; Catholic Europe considered her the rightful queen of England	Mary, Queen of Scots	1984-12-07
U.S. GEOGRAPHY	The 2 states on both sides of the Mississippi	Louisiana and Minnesota	1984-12-10
WOMEN IN HISTORY	Arrested for voting in 1872 election, she died 14 years before the 19th Amendment	Susan B. Anthony	1984-12-11
FLAGS	Country whose flag includes pictures of the British & Dutch flags	South Africa	1984-12-12
DANCE	American who founded dance schools in Fra., Ger. & Russia, but was played by Brit. actress in '68 film	Isadora Duncan	1984-12-13
BUSINESS & INDUSTRY	Cincinnati company that is #1 TV advertiser, spending $½ billion per yr.	Procter & Gamble	1984-12-14
THE CALENDAR	Total days in a year which fall in months with 31 days	217	1984-12-18
WORLD CAPITALS	The closest foreign capital to Washington, D.C.	Ottawa	1984-12-25
ROCKS & MINERALS	Carat for carat, these corundum gems are the most expensive in the world	rubies	1984-12-26
U.S. GEOGRAPHY	Number of states that touch the Pacific Ocean	5	1984-12-28
SPORTS	Only 2 cities with both a National & American League baseball team	New York & Chicago	1985-01-01
FOOD	By weight of total catch, the world's leading fishing nation	Japan	1985-01-02
SPACE	Lunar sea on which Apollo 11 landed	the Sea of Tranquility	1985-01-04
WORLD GEOGRAPHY	Country nearly surrounded by the Ligurian, Adriatic, Tyrrhenian & Mediterranean Seas	Italy	1985-01-07
EUROPEAN HISTORY	On May 1, 1945, Admiral Karl Doenitz assumed this office in Germany	Fuhrer (or dictator)	1985-01-08
MYTHOLOGY	Name of the ship Jason & crew traveled on to fetch the Golden Fleece	the Argo	1985-01-09
FAMOUS FAMILIES	Illinois family that included a vice-president, governor & U.N. ambassador, & a U.S. senator	the Stevensons	1985-01-10
HOLIDAYS	Current name of holiday 1st established to mark armistice ending World War I	Veterans Day	1985-01-11
BUSINESS & INDUSTRY	Domestically oriented co. which in '68 discovered largest N. American oil field, in Alaska	Arco (Atlantic Richfield)	1985-01-14
THE OSCARS	"They won '34's Best Acting awards from opposite sides of blanket in ""It Happened One Night\"""	Claudette Colbert & Clark Gable	1985-01-15
DANCE	"After its appearance in the Black musical ""Runnin' Wild"" in 1923, it became a national craze"	the Charleston	1985-01-16
STATE CAPITALS	Most populous state capital, it falls alphabetically between Olympic & Pierre	Phoenix, Arizona	1985-01-17
TOYS & GAMES	"The highest number under the ""N"" on an American bingo game"	45	1985-01-18
HISTORY	In 1952, it became the 3rd country to test an atomic bomb	Great Britain (England)	1985-01-21
THE THEATER	"The musical ""Hello Dolly!"" was based on this Thornton Wilder play"	The Matchmaker	1985-01-22
MARTYRS	Executed by English for sorcery, later declared innocent and, in 1920, made a saint	Joan of Arc	1985-01-23
U.S. GEOGRAPHY	Each one of these 2 letters begins the names of 8 states	M & N	1985-01-24
THE WORLD	With 168 persons per sq. mi., the continent with the highest population density	Europe	1985-01-25
U.S. PRESIDENTS	Since Hoover, number of presidents known to have faced unsuccessful assassination attempts	4	1985-01-28
COLORS	The 2 colors on either side of yellow in the spectrum	orange & green	1985-01-29
TELEVISION	Mt. Vernon, NY native who now hosts shows on all three major networks	Dick Clark	1985-01-30
FAMOUS QUOTES	"In '60s speech to Congress he said, ""All I have I would have gladly given not to be standing here today\"""	Lyndon Johnson	1985-01-31
BUSINESS & INDUSTRY	60% of the world's pumpkins end up in this company's cans	Libby's	1985-02-01
WORLD CAPITALS	A major foreign tourist center with many American-owned hotels & businesses, but only til '59	Havana	1985-02-04
SHOW BUSINESS	Only actress to win an Oscar, a Tony, a Grammy & an Emmy	Rita Moreno	1985-02-05
U.S. STATES	State with the smallest population	Alaska	1985-02-06
PRESIDENTS	Last President to appoint a Chief Justice of the Supreme Court	Richard Nixon	1985-02-07
THE ZODIAC	Appropriate astrological sign shared by Britain's Princesses Anne & Margaret	Leo	1985-02-08
NEW TESTAMENT	Only New Testament writer believed not to have been originally Jewish	Luke	1985-02-11
FAIRY TALES	"Number of characters who sang the song ""Heigh Ho"" in '37 Disney film"	6	1985-02-12
THE CALENDAR	The 1930s were this decade of the 20th century	the 4th decade	1985-02-13
THE ENGLISH LANGUAGE	Old English resembles this modern language more than it does Modern English	German	1985-02-14
THE MOVIES	"The movie studio that released the landmark film ""The Jazz Singer"" in 1927"	Warner Bros.	1985-02-15
U.S. GEOGRAPHY	It's the largest state in area east of the Mississippi	Georgia	1985-02-18
THE CONSTITUTION	Insisting on inclusion of a Bill of Rights, this N. Eng. state was last of original 13 to ratify the Constitution	Rhode Island	1985-02-19
TOYS & GAMES	The 2 spaces that adjoin Boardwalk in Monopoly	GO and Luxury Tax	1985-02-20
AWARDS	The only U.S. military decoration that may not be awarded to citizens of other countries	the Congressional Medal of Honor	1985-02-21
THE WORLD	Nation that is not a member of the United Nations, but is home to U.N. European headquarters	Switzerland	1985-02-22
THE CABINET	In '61, President Kennedy began the custom of having this diplomatic ofcr. take part in Cabinet meetings	U.N. Ambassador	1985-02-25
20th CENTURY	"In 1927, he was named ""Time"" magazine's first ""Man of the Year\"""	(Charles) Lindbergh	1985-02-26
WORLD CAPITALS	In less than 40 years, Karachi, Rawalpindi & Islamabad have all been its capital	Pakistan	1985-02-27
TELEVISION	Number of children originally in the Howard & Marion Cunningham family of Milwaukee, WI	3	1985-02-28
THE ARMED SERVICES	Defense Dept. that in wartime controls 3 of the 5 armed services	the Navy	1985-03-01
BUSINESS & INDUSTRY	Gunmakers Remington & Sons began making this different product in 1874	typewriter	1985-03-04
BODIES OF WATER	Only Great Lake not forming part of Michigan's borders	Lake Ontario	1985-03-05
THE OSCARS	"Best Actress in '72, her father won Oscar in '58 & mother a special ""baby"" Oscar in '39"	Liza Minnelli	1985-03-06
COLORS	The three colors of the Cuban flag	red, white & blue	1985-03-07
ANATOMY	Between leaving right ventricle & entering left atrium, blood passes through this major organ	the lungs	1985-03-08
MATHEMATICS	"Branch of mathematics that means ""to measure the earth\"""	geometry	1985-03-13
HIGHER EDUCATION	Besides JFK, 1 of 4 presidents who was a Harvard graduate	(1 of) John Adams, John Quincy Adams, Theodore Roosevelt, or Franklin Roosevelt	1985-03-14
THE ENGLISH LANGUAGE	Site of Nov. '78 headline tragedy, it's the only S.A. country with English as official language	Guyana	1985-03-15
THE CONSTITUTION	First branch of the government the Constitution deals with	the legislative branch	1985-03-18
SHOW BUSINESS	The only major Hollywood movie studio currently owned by one person, Denver oilman Marvin Davis	20th Century Fox	1985-03-19
U.S. PRESIDENTS	As result of 20th Amendment, his 2nd inauguration was the 1st to be held Jan. 20th, not March 4th	Franklin Delano Roosevelt	1985-03-20
COLLEGES	"One of the two ""Big Ten"" schools without a state name"	(1 of) Northwestern or Purdue	1985-03-21
BUSINESS & INDUSTRY	This cereal co. which owns Parker Bros. & Lionel Trains is the largest toy maker in the world	General Mills	1985-03-25
PUBLIC HEALTH	Since vaccinations are not yet available, it's most widespread of communicable childhood diseases	chicken pox	1985-03-26
RIVERS	Second longest river in Europe, it flows through or borders eight countries, more than any other	the Danube	1985-03-27
TECHNOLOGY	On std. touch tone phone, tot. No. of buttons with characters also appearing on top row of a typewriter	12	1985-03-28
WORLD HISTORY	It's the oldest independent country in the Western Hemisphere	the United States of America	1985-03-29
THE ZODIAC	Unlike Scorpio, these 2 water signs are actual water creatures	Pisces & Cancer	1985-04-01
WOMEN IN SPORTS	Only Olympic events in which women compete directly with men	equestrian	1985-04-02
GAMES	In a standard deck of playing cards, the only suit that does not have a one-eyed face card	clubs	1985-04-03
THE OSCARS	This 1969 film was the last time the Best Actor Oscar was awarded for a western	True Grit	1985-04-04
THE CIVIL WAR	As early as 1862, federal troops occupied this largest city in the Confederacy	New Orleans, Louisiana	1985-04-05
THE CALENDAR	In 1984, the Cotton, Fiesta, Orange, Rose & Sugar Bowls were all played on this date	January 2	1985-04-08
THE ENGLISH LANGUAGE	In the Websters 3rd International Dictionary, it's the letter with the most entries	S	1985-04-09
PRESIDENTS	The only president to be sworn in by a woman	Lyndon B. Johnson	1985-04-10
SHAKESPEARE	"Besides ""A Midsummer Night's Dream"", the other Shakespearean play with a season in title"	The Winter's Tale	1985-04-11
MEDICINE	In 1806, France was 1st major Eur. country to forbid this profession from practicing surgery	barbers	1985-04-12
U.S. GOVERNMENT	Highest elected official who can serve an unlimited number of terms	the Vice President	1985-04-15
BOOKS & AUTHORS	"Upon completion of his ""Answered Prayers"", this late author would have received $1 million"	Truman Capote	1985-04-16
SOAP OPERAS	CBS soap opera which is the only soap left on the air which began on radio	The Guiding Light	1985-04-17
THE AUTOMOBILE	In 1972, it surpassed the Model T to become largest single car model ever sold	Volkswagen Beetle	1985-04-18
KINGDOMS	Possessing the northernmost island in the world makes this kingdom the world's northernmost	Denmark	1985-04-19
GOVERNMENT	Since the Bill of Rights' ten amendments, only this many more have been added to the Constitution	16	1985-04-22
EDUCATION	The first university in the Western Hemisphere was founded in 1553 in this Latin American capital	Mexico City	1985-04-23
ROYALTY	Queen Elizabeth II's father, he became this king when his brother abdicated the throne	George VI	1985-04-24
THE CONSTITUTION	The first person to sign the Constitution	George Washington	1985-04-25
FAIRY TALES	Worldwide, this fairy tale has been subject of 58 films, more than any other story	Cinderella	1985-04-26
U.S. STATES	Though this state has no reservations, it has largest American Indian population	Oklahoma	1985-04-29
POLITICAL QUOTES	"According to Samuel Johnson, it ""is the last refuge of a scoundrel\"""	patriotism	1985-04-30
NAMES IN THE NEWS	"This U.S. President made the cover of ""TIME"" Magazine 64 times, almost twice as much as anyone else"	Richard Nixon	1985-05-01
FLAGS	Number of stars on the U.S. flag which served the longest	48	1985-05-02
STATE CAPITALS	The closest state capital to the nation's capital	Annapolis	1985-05-03
MEDICINE	A vaccine developed in 1796 made this disease the 1st conquered by man	smallpox	1985-05-06
GOVERNMENT	The highest ranking member of the U.S. President's Cabinet	the Secretary of State	1985-05-07
